"","lemmas_final.s","trat.Info.1.0_nouns"
"1","ads","ad"
"3","address","address"
"4","adults","adult"
"5","afternoons","afternoon"
"6","ages","age"
"7","animals","animal"
"8","answers","answer"
"9","apples","apple"
"10","arms","arm"
"12","bags","bag"
"13","balls","ball"
"14","bananas","banana"
"16","bands","band"
"18","banks","bank"
"19","baseballs","baseball"
"20","basketballs","basketball"
"21","bats","bat"
"23","baths","bath"
"24","bathrooms","bathroom"
"25","beans","bean"
"27","beards","beard"
"28","beds","bed"
"29","bedrooms","bedroom"
"31","beers","beer"
"32","bikes","bike"
"33","birds","bird"
"34","birthdays","birthday"
"35","blouses","blouse"
"37","boards","board"
"39","boats","boat"
"42","books","book"
"43","bookcases","bookcase"
"44","bookstores","bookstore"
"46","boots","boot"
"47","bottoms","bottom"
"48","boys","boy"
"49","breads","bread"
"50","breakfasts","breakfast"
"51","brothers","brother"
"52","buds","bus"
"53","bugs","bus"
"54","bums","bus"
"55","buns","bus"
"56","burs","bus"
"57","bus","bus"
"58","buss","bus"
"59","buts","bus"
"60","buys","bus"
"66","business","business"
"69","butters","butter"
"70","cakes","cake"
"71","cameras","camera"
"72","cars","car"
"73","cats","cat"
"74","chairs","chair"
"75","cheeses","cheese"
"76","chocolates","chocolate"
"81","clasps","class"
"82","class","class"
"83","clasts","class"
"89","classrooms","classroom"
"90","clocks","clock"
"91","coats","coat"
"92","coffees","coffee"
"93","colors","color"
"94","computers","computer"
"96","conversations","conversation"
"98","courses","course"
"100","cows","cow"
"101","crackers","cracker"
"102","across","cross"
"107","cross","cross"
"111","cups","cup"
"112","dads","dad"
"113","dances","dance"
"114","dates","date"
"115","daughters","daughter"
"116","days","day"
"117","desks","desk"
"118","dinners","dinner"
"119","doctors","doctor"
"120","dogs","dog"
"121","dolls","doll"
"122","dollars","dollar"
"123","doors","door"
"126","dress","dress"
"128","duress","dress"
"131","drinks","drink"
"132","ears","ear"
"133","eggs","egg"
"134","ends","end"
"136","erasers","eraser"
"138","evenings","evening"
"139","examples","example"
"140","eyes","eye"
"141","faces","face"
"143","farms","farm"
"144","fathers","father"
"145","floors","floor"
"146","flowers","flower"
"147","foods","food"
"148","footballs","football"
"149","fridays","friday"
"150","friends","friend"
"151","fruits","fruit"
"153","games","game"
"154","gardens","garden"
"156","girls","girl"
"158","glass","glass"
"163","glasses","glasses"
"175","grasps","grass"
"176","grass","grass"
"179","groups","group"
"180","guitars","guitar"
"181","hairs","hair"
"182","hands","hand"
"183","hats","hat"
"185","heads","head"
"186","holidays","holiday"
"187","homes","home"
"188","homeworks","homework"
"190","horses","horse"
"191","hospitals","hospital"
"192","hotels","hotel"
"193","hours","hour"
"194","houses","house"
"195","husbands","husband"
"196","jackets","jacket"
"199","jeans","jeans"
"203","jobs","job"
"204","juices","juice"
"205","keys","key"
"206","kinds","kind"
"207","kitchens","kitchen"
"208","knifes","knife"
"209","languages","language"
"210","legs","leg"
"211","lessons","lesson"
"212","letters","letter"
"213","lifes","life"
"214","mans","man"
"215","meals","meal"
"216","meats","meat"
"217","messages","message"
"218","milks","milk"
"220","minutes","minute"
"221","amiss","miss"
"232","miss","miss"
"233","mists","miss"
"237","moms","mom"
"238","mondays","monday"
"239","moneys","money"
"240","months","month"
"241","mornings","morning"
"242","mothers","mother"
"243","mouths","mouth"
"244","movies","movie"
"247","museums","museum"
"248","musics","music"
"249","names","name"
"250","newspapers","newspaper"
"251","nights","night"
"252","noises","noise"
"253","noses","nose"
"256","notes","note"
"257","numbers","number"
"258","oranges","orange"
"259","pages","page"
"261","paints","paint"
"262","pairs","pair"
"267","paints","pants"
"271","pantos","pants"
"272","pants","pants"
"277","plants","pants"
"281","papers","paper"
"282","parents","parent"
"284","parks","park"
"286","parts","part"
"288","pens","pen"
"290","pencils","pencil"
"291","peoples","people"
